date,price
2024-09-09,2296.4029520764498
2024-09-10,2359.565766831627
2024-09-11,2389.4740111256497
2024-09-12,2342.9639236941434
2024-09-13,2362.300238174588
2024-09-14,2445.08621032297
2024-09-15,2418.0828083179904
2024-09-16,2322.6433317480564
2024-09-17,2295.1348386540835
2024-09-18,2341.0924132597524
2024-09-19,2361.960992100706
2024-09-20,2465.2347833172967
2024-09-21,2557.6218555442515
2024-09-22,2614.599604753501
2024-09-23,2582.847683741262
2024-09-24,2647.993162203325
2024-09-25,2653.844345308008
2024-09-26,2578.566359563475
2024-09-27,2630.94983700893
2024-09-28,2698.192821234604
2024-09-29,2680.218702062471
2024-09-30,2659.611211611689
2024-10-01,2597.3411516834435
2024-10-02,2451.631522589772
2024-10-03,2365.231040243019
2024-10-04,2348.0048369247397
2024-10-05,2416.918405555264
2024-10-06,2415.4038137445546
2024-10-07,2438.030912544012
2024-10-08,2422.7506412955013
2024-10-09,2441.465169620029
2024-10-10,2367.615096789395
2024-10-11,2381.7817088014776
2024-10-12,2435.713784369216
2024-10-13,2477.6130275578225
2024-10-14,2466.8607267086663
2024-10-15,2628.504376157751
2024-10-16,2602.0760435960988
2024-10-17,2611.700159182395
2024-10-18,2603.120292334612
2024-10-19,2643.156520987104
2024-10-20,2649.979289580214
2024-10-21,2742.9591411600395
2024-10-22,2665.731938974013
2024-10-23,2619.5653130506435
2024-10-24,2524.10385630912
2024-10-25,2536.234041319884
2024-10-26,2422.09328922875
2024-10-27,2479.373603244332
2024-10-28,2505.502947138879
2024-10-29,2564.8138556783
2024-10-30,2638.637351278122
2024-10-31,2657.6141818494384
2024-11-01,2514.750787241073
2024-11-02,2513.8372870612066
2024-11-03,2491.352150058657
2024-11-04,2456.979687344711
2024-11-05,2395.9472139132804
2024-11-06,2422.368479855642
2024-11-07,2720.62174500688
2024-11-08,2894.9718733838376
2024-11-09,2960.9593369382137
2024-11-10,3130.035524073996
2024-11-11,3191.9044555518158
2024-11-12,3372.7914863430115
2024-11-13,3260.934386131155
2024-11-14,3191.8991843987947
2024-11-15,3059.812296932496
2024-11-16,3093.913043390382
2024-11-17,3133.8802234191417
2024-11-18,3075.534532601624
2024-11-19,3209.4239073326826
2024-11-20,3112.9098010150224
2024-11-21,3075.193856649331
2024-11-22,3365.9369715466096
2024-11-23,3327.7571951719624
2024-11-24,3394.036961782547
2024-11-25,3368.7027619429946
2024-11-26,3417.291223691937
2024-11-27,3325.636532587645
2024-11-28,3666.188490437756
2024-11-29,3579.2407862475
2024-11-30,3598.1933212253616
2024-12-01,3709.9094391073327
2024-12-02,3708.8072387383017
2024-12-03,3643.855375704235
2024-12-04,3625.71045794972
2024-12-05,3839.443460715871
2024-12-06,3796.868867160128
2024-12-07,4013.726145388712
2024-12-08,4000.992076502189
2024-12-09,4015.7820212328807
2024-12-10,3713.313897997175
2024-12-11,3626.5886417775
2024-12-12,3828.1075883404096
2024-12-13,3878.850012073054
2024-12-14,3907.429659505336
2024-12-15,3866.995802034805
2024-12-16,3961.3154661802314
2024-12-17,3992.857195846062
2024-12-18,3879.406224010089
2024-12-19,3628.2624780444953
2024-12-20,3434.6754695380805
2024-12-21,3468.658920056454
2024-12-22,3337.5972231166807
2024-12-23,3275.8894274015142
2024-12-24,3414.6414419807998
2024-12-25,3497.555287927574
2024-12-26,3494.5109273631047
2024-12-27,3327.7897761683494
2024-12-28,3328.6111553091764
2024-12-29,3397.8341205085158
2024-12-30,3357.330742971463
2024-12-31,3359.513941757392
2025-01-01,3336.6175137659498
2025-01-02,3348.967247123586
2025-01-03,3448.140436960939
2025-01-04,3604.291379593176
2025-01-05,3660.37804173532
2025-01-06,3635.854996180709
2025-01-07,3687.144714058831
2025-01-08,3380.0211263090155
2025-01-09,3325.130029353736
2025-01-10,3219.09284475812
2025-01-11,3269.1759954060667
2025-01-12,3283.591322828503
2025-01-13,3264.070968533687
2025-01-14,3134.5520394596483
2025-01-15,3224.8006483414138
2025-01-16,3447.034047674796
2025-01-17,3309.44661399002
2025-01-18,3477.284285084809
2025-01-19,3309.0995676199964
2025-01-20,3208.1365439891497
2025-01-21,3263.069869880814
2025-01-22,3326.0285404709143
2025-01-23,3237.2996671291435
2025-01-24,3332.580893146162
2025-01-25,3311.8499838687
2025-01-26,3320.1314101789453
2025-01-27,3232.2767744705584
2025-01-28,3173.5346079397173
2025-01-29,3076.4937692857234
2025-01-30,3114.4358854363104
2025-01-31,3248.249484352305
2025-02-01,3296.390634843652
2025-02-02,3125.0386801320924
